File,Coordinates,Area,Value_1_Ratio,Value_2_Ratio,Value_3_Ratio,Value_4_Ratio,Value_5_Ratio,Value_6_Ratio,Value_7_Ratio,Value_8_Ratio,Value_9_Ratio,Value_10_Ratio
BJ_30_45,"(30, 45)",2775,0.2424,0.0079,0.0029,0.7465,0.0002,0.0001
BJ_30_51,"(30, 51)",2781,0.2512,0.0025,0.7459,0.0004
BJ_24_24,"(24, 24)",2208,0.407,0.0329,0.0637,0.4964
BJ_39_75,"(39, 75)",3624,0.1797,0.0142,0.056,0.7484,0.0017
BJ_37_58,"(37, 58)",3425,0.4893,0.1491,0.3266,0.035
BJ_41_51,"(41, 51)",3782,0.2493,0.0001,0.078,0.4968,0.1746,0.0012
BJ_13_71,"(13, 71)",1254,0.2052,0.0024,0.0874,0.3348,0.3477,0.0225
BJ_14_78,"(14, 78)",1352,0.1178,0.0003,0.0194,0.0641,0.7933,0.0051
BJ_46_58,"(46, 58)",4244,0.1655,0.0002,0.02,0.4044,0.4016,0.0074,0.0009
BJ_3_18,"(3, 18)",291,0.4125,0.0291,0.1565,0.4018,0.0001
BJ_13_65,"(13, 65)",1248,0.1965,0.0001,0.0691,0.2267,0.5016,0.006
BJ_4_11,"(4, 11)",375,0.2571,0.0996,0.1342,0.4867,0.0224
BJ_41_45,"(41, 45)",3776,0.1767,0.0439,0.1714,0.6031,0.0049
BJ_32_83,"(32, 83)",2995,0.0468,0.0001,0.024,0.7745,0.1546
BJ_4_39,"(4, 39)",403,0.1108,0.0219,0.2572,0.6026,0.0075
BJ_26_0,"(26, 0)",2366,0.5874,0.1689,0.1402,0.085,0.007,0.0115
BJ_46_64,"(46, 64)",4250,0.1267,0.0217,0.1812,0.6615,0.0089
BJ_3_30,"(3, 30)",303,0.1151,0.0001,0.0227,0.8619,0.0002
BJ_14_44,"(14, 44)",1318,0.3767,0.0053,0.0008,0.6,0.0172
BJ_13_9,"(13, 9)",1192,0.9533,0.0017,0.0003,0.0392,0.0001,0.0054
BJ_3_24,"(3, 24)",297,0.3146,0.1699,0.5042,0.0113
BJ_14_50,"(14, 50)",1324,0.1301,0.8698,0.0001
BJ_46_70,"(46, 70)",4256,0.1899,0.0025,0.1089,0.6987
BJ_45_3,"(45, 3)",4098,0.9182,0.0818
BJ_41_79,"(41, 79)",3810,0.0382,0.002,0.1504,0.8049,0.0045
BJ_13_59,"(13, 59)",1242,0.0217,0.0393,0.0946,0.8259,0.0185
BJ_28_24,"(28, 24)",2572,0.6952,0.0029,0.1235,0.173,0.0036,0.0018
BJ_35_75,"(35, 75)",3260,0.222,0.0266,0.1165,0.6213,0.0136
BJ_35_61,"(35, 61)",3246,0.4031,0.2263,0.1778,0.0919,0.0047,0.0962
BJ_21_14,"(21, 14)",1925,0.2731,0.0005,0.7264
BJ_28_30,"(28, 30)",2578,0.3622,0.0006,0.1711,0.0889,0.3614,0.0036,0.0122
BJ_41_86,"(41, 86)",3817,0.047,0.0339,0.3433,0.5715,0.0043
BJ_32_68,"(32, 68)",2980,0.4761,0.0001,0.0168,0.3469,0.1601
BJ_28_18,"(28, 18)",2566,0.9725,0.0275
BJ_26_35,"(26, 35)",2401,0.1603,0.0082,0.0274,0.8034,0.0007
BJ_32_40,"(32, 40)",2952,0.3775,0.0774,0.0387,0.5025,0.0039
BJ_14_87,"(14, 87)",1361,0.5513,0.0164,0.2379,0.1944
BJ_35_49,"(35, 49)",3234,0.435,0.0609,0.3935,0.0947,0.0131,0.0028
BJ_21_28,"(21, 28)",1939,0.1348,0.0003,0.0036,0.8603,0.0007,0.0003
BJ_32_54,"(32, 54)",2966,0.1091,0.0005,0.1009,0.4827,0.1405,0.1663
BJ_26_21,"(26, 21)",2387,0.327,0.0089,0.0369,0.6166,0.0106
BJ_7_68,"(7, 68)",705,0.2445,0.1353,0.2973,0.3199,0.003
BJ_9_45,"(9, 45)",864,0.3471,0.0246,0.0921,0.5318,0.0044
BJ_45_35,"(45, 35)",4130,0.2513,0.0154,0.0522,0.1741,0.0089,0.4963,0.0018
BJ_17_15,"(17, 15)",1562,0.2019,0.0161,0.0067,0.6827,0.0016,0.091
