File,Coordinates,Area,Value_1_Ratio,Value_2_Ratio,Value_3_Ratio,Value_4_Ratio,Value_5_Ratio,Value_6_Ratio,Value_7_Ratio,Value_8_Ratio,Value_9_Ratio,Value_10_Ratio
BJ_5_56,"(5, 56)",511,0.3968,0.0003,0.0031,0.5984,0.0006,0.0008
BJ_31_9,"(31, 9)",2830,0.7575,0.0819,0.0243,0.0904,0.0459
BJ_22_3,"(22, 3)",2005,0.4591,0.1252,0.13,0.2856,0.0001
BJ_40_16,"(40, 16)",3656,0.8364,0.0256,0.0379,0.0859,0.0031,0.0111
BJ_12_36,"(12, 36)",1128,0.1578,0.0002,0.0172,0.0703,0.7541,0.0004
BJ_5_42,"(5, 42)",497,0.0759,0.0237,0.4204,0.4798,0.0002
BJ_20_84,"(20, 84)",1904,0.3663,0.0309,0.3879,0.2094,0.0055
BJ_5_54,"(5, 54)",509,0.1913,0.0042,0.0024,0.8017,0.0004
BJ_12_20,"(12, 20)",1112,0.246,0.0111,0.148,0.5948,0.0001
BJ_15_29,"(15, 29)",1394,0.2507,0.0362,0.7102,0.0029
BJ_41_2,"(41, 2)",3733,0.961,0.039
BJ_20_86,"(20, 86)",1906,0.2728,0.0001,0.032,0.432,0.2572,0.0059
BJ_2_49,"(2, 49)",231,0.1198,0.0001,0.0625,0.3252,0.4878,0.0046
BJ_17_8,"(17, 8)",1555,0.2114,0.0111,0.0542,0.7205,0.0016,0.0012
BJ_5_40,"(5, 40)",495,0.138,0.001,0.1544,0.6809,0.0257
BJ_12_34,"(12, 34)",1126,0.1587,0.0375,0.2183,0.5803,0.0052
BJ_40_14,"(40, 14)",3654,0.4029,0.0346,0.1616,0.3781,0.0199,0.0029
BJ_22_1,"(22, 1)",2003,0.8138,0.0274,0.001,0.1557,0.0021
BJ_5_68,"(5, 68)",523,0.0647,0.0038,0.2068,0.4973,0.1306,0.0968
BJ_15_15,"(15, 15)",1380,0.6294,0.009,0.0238,0.3366,0.0001,0.0011
BJ_2_61,"(2, 61)",243,0.2548,0.0509,0.1406,0.5537
BJ_2_75,"(2, 75)",257,0.1305,0.0242,0.5166,0.3261,0.0026
BJ_40_28,"(40, 28)",3668,0.3974,0.057,0.1147,0.4047,0.0262
BJ_19_7,"(19, 7)",1736,0.3726,0.0127,0.0548,0.5535,0.0064
BJ_27_58,"(27, 58)",2515,0.2838,0.0275,0.2154,0.4709,0.0024
BJ_29_75,"(29, 75)",2714,0.3883,0.0001,0.0989,0.4898,0.0146,0.0078,0.0005
BJ_20_51,"(20, 51)",1871,0.2964,0.0001,0.6844,0.0011,0.018
BJ_34_24,"(34, 24)",3118,0.5805,0.005,0.1171,0.2971,0.0003
BJ_34_30,"(34, 30)",3124,0.1149,0.0367,0.2697,0.5627,0.016
BJ_20_45,"(20, 45)",1865,0.0379,0.0002,0.9619
BJ_29_61,"(29, 61)",2700,0.234,0.0279,0.0742,0.5716,0.0843,0.008
BJ_5_83,"(5, 83)",538,0.0731,0.1164,0.6926,0.1125,0.0054
BJ_33_39,"(33, 39)",3042,0.1977,0.071,0.0111,0.6686,0.0009,0.0507
BJ_27_64,"(27, 64)",2521,0.3843,0.0795,0.254,0.2713,0.0109
BJ_29_49,"(29, 49)",2688,0.4328,0.1261,0.013,0.4231,0.005
BJ_33_11,"(33, 11)",3014,0.9659,0.034,0.0001
BJ_34_18,"(34, 18)",3112,0.2348,0.0052,0.0429,0.7153,0.0018
BJ_20_79,"(20, 79)",1899,0.4306,0.0299,0.1468,0.2779,0.0223,0.0925
BJ_27_70,"(27, 70)",2527,0.1607,0.1114,0.3491,0.3315,0.0013,0.0349,0.0111
BJ_43_0,"(43, 0)",3913,0.9299,0.0701
BJ_8_14,"(8, 14)",742,0.6802,0.0006,0.0063,0.3116,0.0013
BJ_6_39,"(6, 39)",585,0.0648,0.0251,0.1122,0.7954,0.0025
BJ_30_83,"(30, 83)",2813,0.0806,0.0001,0.0285,0.4833,0.4011,0.0064
BJ_44_64,"(44, 64)",4068,0.5519,0.0242,0.249,0.1749
BJ_18_69,"(18, 69)",1707,0.455,0.0104,0.0967,0.395,0.0062,0.0367
BJ_1_30,"(1, 30)",121,0.1578,0.0418,0.2414,0.5366,0.0224
BJ_33_9,"(33, 9)",3012,0.9806,0.0194
BJ_16_44,"(16, 44)",1500,0.368,0.0236,0.6084
BJ_1_24,"(1, 24)",115,0.1308,0.1415,0.7184,0.0086,0.0007
BJ_20_3,"(20, 3)",1823,0.9503,0.0303,0.0025,0.0169
BJ_16_50,"(16, 50)",1506,0.1706,0.0039,0.0007,0.8248
BJ_44_70,"(44, 70)",4074,0.3285,0.0006,0.0748,0.5912,0.001,0.0039
BJ_43_79,"(43, 79)",3992,0.2719,0.0089,0.0813,0.3414,0.0031,0.2747,0.0187
BJ_11_59,"(11, 59)",1060,0.1095,0.0125,0.02,0.8539,0.0041
BJ_43_51,"(43, 51)",3964,0.0229,0.0221,0.0928,0.8369,0.0253
BJ_8_28,"(8, 28)",756,0.0902,0.004,0.0517,0.8458,0.0083
BJ_11_71,"(11, 71)",1072,0.1592,0.0001,0.1327,0.3446,0.3599,0.0035
BJ_18_55,"(18, 55)",1693,0.1445,0.0041,0.06,0.7372,0.0004,0.0538
BJ_16_78,"(16, 78)",1534,0.1388,0.0032,0.0273,0.8306,0.0001
BJ_44_58,"(44, 58)",4062,0.231,0.019,0.07,0.6691,0.0109
BJ_1_18,"(1, 18)",109,0.1967,0.0272,0.1693,0.6067,0.0001
BJ_18_41,"(18, 41)",1679,0.0952,0.0016,0.8191,0.0011,0.083
BJ_11_65,"(11, 65)",1066,0.1373,0.0001,0.025,0.3658,0.4676,0.0042
BJ_6_11,"(6, 11)",557,0.2574,0.0592,0.2421,0.4361,0.0005,0.0047
BJ_43_45,"(43, 45)",3958,0.286,0.0037,0.048,0.662,0.0003
BJ_24_35,"(24, 35)",2219,0.1741,0.0097,0.8162
BJ_30_40,"(30, 40)",2770,0.2988,0.0013,0.0049,0.6949,0.0001
BJ_16_87,"(16, 87)",1543,0.1933,0.0405,0.5171,0.2351,0.0037,0.0103
BJ_39_64,"(39, 64)",3613,0.0811,0.0371,0.2892,0.5779,0.0147
BJ_37_49,"(37, 49)",3416,0.3494,0.0783,0.3441,0.1072,0.003,0.1092,0.0088
BJ_8_3,"(8, 3)",731,0.5233,0.0517,0.19,0.2106,0.0244
BJ_23_28,"(23, 28)",2121,0.372,0.0025,0.6253,0.0002
BJ_39_70,"(39, 70)",3619,0.3612,0.0167,0.3329,0.2887,0.0005
BJ_30_54,"(30, 54)",2784,0.3883,0.0101,0.0121,0.5821,0.0009,0.0065
BJ_24_21,"(24, 21)",2205,0.3755,0.0044,0.0719,0.5447,0.003,0.0005
BJ_39_58,"(39, 58)",3607,0.0817,0.035,0.0307,0.8505,0.0021
BJ_37_75,"(37, 75)",3442,0.1261,0.0161,0.1713,0.6616,0.0249
BJ_37_61,"(37, 61)",3428,0.2924,0.0106,0.0333,0.6629,0.0008
BJ_18_82,"(18, 82)",1720,0.1697,0.0272,0.0559,0.7256,0.0026,0.0153,0.0037
BJ_23_14,"(23, 14)",2107,0.9257,0.0211,0.002,0.0512
BJ_43_86,"(43, 86)",3999,0.1263,0.0067,0.1558,0.708,0.0024,0.0008
BJ_30_68,"(30, 68)",2798,0.5233,0.0174,0.2497,0.2046,0.005
BJ_46_61,"(46, 61)",4247,0.2526,0.0122,0.1482,0.587
BJ_26_5,"(26, 5)",2371,0.7788,0.0177,0.0131,0.1904
BJ_3_35,"(3, 35)",308,0.3806,0.0111,0.1518,0.4553,0.0012
BJ_14_41,"(14, 41)",1315,0.4121,0.4133,0.0035,0.1711
BJ_13_48,"(13, 48)",1231,0.2415,0.012,0.0042,0.7422,0.0001
BJ_32_86,"(32, 86)",2998,0.1381,0.0186,0.3134,0.5294,0.0005
BJ_41_68,"(41, 68)",3799,0.0025,0.0141,0.0392,0.9177,0.0265
BJ_45_6,"(45, 6)",4101,0.7402,0.2532,0.0022,0.0001,0.0043
BJ_4_28,"(4, 28)",392,0.04,0.1178,0.5089,0.3324,0.0009
BJ_3_21,"(3, 21)",294,0.3681,0.0819,0.3017,0.2478,0.0005
BJ_14_55,"(14, 55)",1329,0.1988,0.003,0.796,0.0022
BJ_46_75,"(46, 75)",4261,0.5903,0.0006,0.0319,0.266,0.0001,0.1103,0.0008
BJ_41_54,"(41, 54)",3785,0.2247,0.2054,0.1572,0.3519,0.0193,0.0412,0.0003
BJ_13_74,"(13, 74)",1257,0.0922,0.0983,0.1983,0.6037,0.0075
BJ_13_60,"(13, 60)",1243,0.0022,0.0076,0.0034,0.9851,0.0017
BJ_4_14,"(4, 14)",378,0.2319,0.048,0.1407,0.5637,0.0157
BJ_41_40,"(41, 40)",3771,0.0356,0.0063,0.0623,0.8921,0.0037
BJ_46_49,"(46, 49)",4235,0.1104,0.1468,0.4896,0.2512,0.0014,0.0006
BJ_14_69,"(14, 69)",1343,0.0632,0.0027,0.0502,0.411,0.454,0.0189
BJ_14_82,"(14, 82)",1356,0.012,0.0007,0.1008,0.8186,0.0678,0.0001
BJ_21_39,"(21, 39)",1950,0.0947,0.0001,0.9052
BJ_26_30,"(26, 30)",2396,0.3959,0.0402,0.0175,0.5343,0.0002,0.0119
BJ_32_45,"(32, 45)",2957,0.3286,0.0037,0.0114,0.6388,0.0012,0.0163
BJ_32_51,"(32, 51)",2963,0.3171,0.0037,0.0339,0.6295,0.0158
BJ_26_24,"(26, 24)",2390,0.6203,0.0482,0.1074,0.2237,0.0003,0.0001
BJ_35_58,"(35, 58)",3243,0.1432,0.0006,0.1277,0.2556,0.4636,0.0093
BJ_35_70,"(35, 70)",3255,0.025,0.0249,0.1145,0.8003,0.0218,0.0135
BJ_32_79,"(32, 79)",2991,0.3277,0.0532,0.6095,0.0087,0.0009
BJ_28_21,"(28, 21)",2569,0.5324,0.0494,0.0642,0.3539,0.0001
BJ_41_83,"(41, 83)",3814,0.5242,0.0262,0.1266,0.0031,0.3153,0.0046
BJ_28_35,"(28, 35)",2583,0.1506,0.0014,0.848
BJ_26_18,"(26, 18)",2384,0.9804,0.0054,0.0001,0.0141
BJ_35_64,"(35, 64)",3249,0.1546,0.0268,0.3052,0.5119,0.0015
BJ_21_11,"(21, 11)",1922,0.4614,0.0177,0.1451,0.3649,0.0019,0.0059,0.0031
BJ_0_58,"(0, 58)",58,0.2261,0.0002,0.0416,0.1539,0.5303,0.0451,0.0015,0.0013
BJ_2_8,"(2, 8)",190,0.3202,0.0073,0.1106,0.5613,0.0006
BJ_7_51,"(7, 51)",688,0.2694,0.0247,0.1519,0.508,0.001,0.045
BJ_10_25,"(10, 25)",935,0.0277,0.0025,0.9655,0.0043
BJ_24_7,"(24, 7)",2191,0.2332,0.015,0.0695,0.6461,0.0117,0.0245
BJ_7_45,"(7, 45)",682,0.2326,0.0012,0.0898,0.2174,0.4502,0.001,0.0078
BJ_9_68,"(9, 68)",887,0.2579,0.0002,0.0982,0.2939,0.3476,0.0021,0.0001
BJ_10_31,"(10, 31)",941,0.1623,0.0181,0.0043,0.7795,0.0357,0.0001
BJ_42_11,"(42, 11)",3833,0.4359,0.0331,0.2396,0.2889,0.0023,0.0002
BJ_22_83,"(22, 83)",2085,0.1902,0.0231,0.07,0.7134,0.0033
BJ_45_18,"(45, 18)",4113,0.6458,0.0096,0.085,0.2517,0.0079
BJ_17_38,"(17, 38)",1585,0.2863,0.0012,0.7124,0.0001
BJ_19_15,"(19, 15)",1744,0.0376,0.0023,0.0002,0.9506,0.0093
BJ_45_30,"(45, 30)",4125,0.0399,0.1158,0.7065,0.1273,0.0105
BJ_17_10,"(17, 10)",1557,0.0605,0.0056,0.0151,0.9163,0.002,0.0005
BJ_0_64,"(0, 64)",64,0.1527,0.0001,0.0427,0.1834,0.6211
BJ_10_19,"(10, 19)",929,0.2631,0.0132,0.0086,0.7118,0.0033
BJ_9_40,"(9, 40)",859,0.1621,0.013,0.0619,0.7626,0.0004
BJ_42_39,"(42, 39)",3861,0.116,0.0441,0.1747,0.6638,0.0014
BJ_7_79,"(7, 79)",716,0.0469,0.0173,0.4284,0.5071,0.0003
BJ_9_54,"(9, 54)",873,0.4734,0.0405,0.2473,0.2106,0.0282
BJ_19_29,"(19, 29)",1758,0.1737,0.0006,0.8238,0.0019
BJ_0_70,"(0, 70)",70,0.3447,0.0475,0.4488,0.1568,0.0001,0.0021
BJ_45_24,"(45, 24)",4119,0.4067,0.0201,0.278,0.2915,0.0037
BJ_22_54,"(22, 54)",2056,0.5384,0.0003,0.031,0.4273,0.0005,0.0025
BJ_36_21,"(36, 21)",3297,0.7486,0.0779,0.1239,0.0496
BJ_39_2,"(39, 2)",3551,0.6923,0.3038,0.0038,0.0001
BJ_31_28,"(31, 28)",2849,0.2556,0.0056,0.0605,0.6595,0.0188
BJ_25_49,"(25, 49)",2324,0.2235,0.7765
BJ_7_86,"(7, 86)",723,0.2351,0.0003,0.1595,0.3625,0.1339,0.0116,0.0971
BJ_36_35,"(36, 35)",3311,0.1403,0.0041,0.8556
BJ_38_18,"(38, 18)",3476,0.4594,0.0051,0.1372,0.3975,0.0002,0.0006
BJ_22_40,"(22, 40)",2042,0.0573,0.0002,0.9425
BJ_38_30,"(38, 30)",3488,0.2462,0.0205,0.3138,0.4175,0.0016,0.0004
BJ_22_68,"(22, 68)",2070,0.2957,0.0003,0.2651,0.3974,0.0262,0.0021,0.0132
BJ_25_61,"(25, 61)",2336,0.112,0.0002,0.0036,0.8722,0.012
BJ_9_83,"(9, 83)",902,0.1503,0.0003,0.1448,0.3641,0.2857,0.0011,0.0537
BJ_31_14,"(31, 14)",2835,0.9455,0.0378,0.0137,0.003
BJ_25_75,"(25, 75)",2350,0.2599,0.0052,0.115,0.6178,0.0018,0.0003
BJ_38_24,"(38, 24)",3482,0.1886,0.0057,0.0679,0.7378
BJ_25_74,"(25, 74)",2349,0.0344,0.0168,0.1072,0.8322,0.0007,0.0087
BJ_38_25,"(38, 25)",3483,0.1921,0.0022,0.061,0.7439,0.0008
BJ_22_69,"(22, 69)",2071,0.4236,0.0007,0.0883,0.2987,0.1829,0.0058
BJ_38_31,"(38, 31)",3489,0.1078,0.0549,0.0137,0.8101,0.0135
BJ_31_15,"(31, 15)",2836,0.9281,0.0641,0.0078
BJ_9_82,"(9, 82)",901,0.0842,0.2242,0.3262,0.3649,0.0005
BJ_25_60,"(25, 60)",2335,0.3178,0.0011,0.0207,0.6595,0.0009
BJ_7_87,"(7, 87)",724,0.2634,0.0282,0.5902,0.079,0.0025,0.0367
BJ_25_48,"(25, 48)",2323,0.2751,0.7239,0.001
BJ_22_41,"(22, 41)",2043,0.1546,0.7957,0.0003,0.0494
BJ_38_19,"(38, 19)",3477,0.2056,0.2152,0.3496,0.2211,0.0051,0.0034
BJ_36_34,"(36, 34)",3310,0.155,0.0125,0.0058,0.8267
BJ_36_20,"(36, 20)",3296,0.4743,0.0378,0.082,0.3689,0.037
BJ_22_55,"(22, 55)",2057,0.2745,0.0003,0.0022,0.7215,0.0015
BJ_31_29,"(31, 29)",2850,0.1995,0.0072,0.0014,0.7782,0.0137
BJ_39_3,"(39, 3)",3552,0.9951,0.0049
BJ_9_55,"(9, 55)",874,0.1982,0.0139,0.1301,0.6401,0.0177
BJ_7_78,"(7, 78)",715,0.022,0.0001,0.0404,0.8789,0.0577,0.0009
BJ_45_25,"(45, 25)",4120,0.1246,0.011,0.1025,0.7586,0.0033
BJ_0_71,"(0, 71)",71,0.1795,0.0594,0.551,0.2086,0.0015
BJ_19_28,"(19, 28)",1757,0.1631,0.0002,0.0007,0.836
BJ_0_65,"(0, 65)",65,0.3127,0.0001,0.036,0.346,0.3052
BJ_17_11,"(17, 11)",1558,0.2158,0.0615,0.4211,0.3,0.0016
BJ_45_31,"(45, 31)",4126,0.4498,0.0893,0.4392,0.013,0.0014,0.0026,0.0047
BJ_42_38,"(42, 38)",3860,0.2335,0.0284,0.3884,0.3487,0.001
BJ_9_41,"(9, 41)",860,0.2765,0.001,0.0381,0.683,0.0014
BJ_10_18,"(10, 18)",928,0.0986,0.0011,0.0072,0.8931
BJ_42_10,"(42, 10)",3832,0.171,0.0191,0.4054,0.3921,0.0124
BJ_10_30,"(10, 30)",940,0.0877,0.0002,0.0016,0.9105
BJ_9_69,"(9, 69)",888,0.1754,0.0007,0.0379,0.402,0.3764,0.0076
BJ_7_44,"(7, 44)",681,0.174,0.0001,0.0301,0.0651,0.7301,0.0006
BJ_19_14,"(19, 14)",1743,0.0897,0.0095,0.0163,0.7512,0.0024,0.1309
BJ_17_39,"(17, 39)",1586,0.1804,0.8196
BJ_45_19,"(45, 19)",4114,0.4985,0.0113,0.2655,0.2232,0.0015
BJ_22_82,"(22, 82)",2084,0.083,0.0003,0.0822,0.2244,0.5719,0.0382
BJ_0_59,"(0, 59)",59,0.1924,0.0223,0.1265,0.6429,0.0159
BJ_10_24,"(10, 24)",934,0.0871,0.0005,0.0039,0.9081,0.0004
BJ_24_6,"(24, 6)",2190,0.5821,0.094,0.0802,0.228,0.0157
BJ_7_50,"(7, 50)",687,0.2995,0.0013,0.0278,0.6626,0.0005,0.0083
BJ_2_9,"(2, 9)",191,0.3323,0.0244,0.3656,0.2681,0.0096
BJ_26_19,"(26, 19)",2385,0.902,0.0006,0.0183,0.0789,0.0002
BJ_41_82,"(41, 82)",3813,0.8073,0.0544,0.0334,0.1049
BJ_28_34,"(28, 34)",2582,0.1042,0.8958
BJ_21_10,"(21, 10)",1921,0.3433,0.0204,0.1393,0.4963,0.0007
BJ_35_65,"(35, 65)",3250,0.3213,0.0135,0.4923,0.1725,0.0004
BJ_35_71,"(35, 71)",3256,0.5905,0.054,0.2567,0.0963,0.0025
BJ_28_20,"(28, 20)",2568,0.4433,0.0118,0.0305,0.5132,0.0012
BJ_32_78,"(32, 78)",2990,0.0572,0.0002,0.0503,0.3736,0.5185,0.0001,0.0001
BJ_26_25,"(26, 25)",2391,0.3454,0.0004,0.1203,0.5336,0.0003
BJ_32_50,"(32, 50)",2962,0.3172,0.005,0.1161,0.5617
BJ_35_59,"(35, 59)",3244,0.2068,0.0003,0.1207,0.2512,0.3642,0.0568
BJ_21_38,"(21, 38)",1949,0.1348,0.8651,0.0001
BJ_14_83,"(14, 83)",1357,0.0599,0.0001,0.2712,0.5928,0.0757,0.0003
BJ_32_44,"(32, 44)",2956,0.6345,0.006,0.0313,0.315,0.0001,0.0131
BJ_26_31,"(26, 31)",2397,0.2506,0.0025,0.0173,0.7282,0.0014
BJ_41_41,"(41, 41)",3772,0.2526,0.1019,0.3362,0.2954,0.0133,0.0006
BJ_4_15,"(4, 15)",379,0.0988,0.021,0.1498,0.7145,0.0159
BJ_13_61,"(13, 61)",1244,0.0998,0.0132,0.0369,0.8465,0.0036
BJ_14_68,"(14, 68)",1342,0.1365,0.0002,0.037,0.6681,0.1569,0.0013
BJ_46_48,"(46, 48)",4234,0.1755,0.0624,0.6827,0.0789,0.0005
BJ_13_75,"(13, 75)",1258,0.0523,0.0738,0.2014,0.6432,0.0293
BJ_41_55,"(41, 55)",3786,0.1684,0.0286,0.0248,0.7652,0.0083,0.0047
BJ_4_29,"(4, 29)",393,0.0702,0.0075,0.0318,0.8836,0.0069
BJ_45_7,"(45, 7)",4102,0.63,0.3327,0.0228,0.0145
BJ_46_74,"(46, 74)",4260,0.1298,0.0017,0.0046,0.8575,0.0001,0.0063
BJ_14_54,"(14, 54)",1328,0.4353,0.0009,0.0034,0.5575,0.0005,0.0024
BJ_3_20,"(3, 20)",293,0.3688,0.041,0.5196,0.0658,0.0048
BJ_14_40,"(14, 40)",1314,0.2122,0.0003,0.0011,0.7665,0.0009,0.019
BJ_3_34,"(3, 34)",307,0.3623,0.0129,0.1418,0.4826,0.0004
BJ_26_4,"(26, 4)",2370,0.8629,0.0616,0.0099,0.0655,0.0001
BJ_46_60,"(46, 60)",4246,0.1435,0.0666,0.4043,0.377,0.002,0.0066
BJ_41_69,"(41, 69)",3800,0.0015,0.0044,0.417,0.5235,0.0536
BJ_32_87,"(32, 87)",2999,0.1042,0.0649,0.7851,0.0426,0.0032
BJ_13_49,"(13, 49)",1232,0.1723,0.0004,0.0062,0.815,0.0061
BJ_23_15,"(23, 15)",2108,0.9925,0.0027,0.0005,0.0043
BJ_18_83,"(18, 83)",1721,0.0622,0.0072,0.0237,0.9032,0.0037
BJ_37_60,"(37, 60)",3427,0.4539,0.0081,0.0619,0.3803,0.0031,0.0927
BJ_30_69,"(30, 69)",2799,0.5712,0.0365,0.2885,0.1016,0.0022
BJ_43_87,"(43, 87)",4000,0.0272,0.0005,0.0142,0.9102,0.0463,0.0016
BJ_37_74,"(37, 74)",3441,0.1936,0.0047,0.0962,0.7043,0.0012
BJ_39_59,"(39, 59)",3608,0.2305,0.0585,0.3001,0.4007,0.0101,0.0001
BJ_39_71,"(39, 71)",3620,0.5123,0.0332,0.1903,0.2613,0.0029
BJ_23_29,"(23, 29)",2122,0.3193,0.0047,0.0583,0.6105,0.0072
BJ_24_20,"(24, 20)",2204,0.6405,0.001,0.0396,0.3187,0.0002
BJ_30_55,"(30, 55)",2785,0.3853,0.0011,0.0712,0.1024,0.4353,0.0047
BJ_30_41,"(30, 41)",2771,0.3097,0.0016,0.6843,0.002,0.0024
BJ_24_34,"(24, 34)",2218,0.1773,0.0051,0.0041,0.8134,0.0001
BJ_8_2,"(8, 2)",730,0.2542,0.0429,0.5728,0.1278,0.0023
BJ_37_48,"(37, 48)",3415,0.2172,0.0124,0.1613,0.5509,0.001,0.0572
BJ_39_65,"(39, 65)",3614,0.0025,0.0284,0.1673,0.7804,0.0214
BJ_16_86,"(16, 86)",1542,0.1374,0.032,0.3643,0.4469,0.0006,0.0188
BJ_18_40,"(18, 40)",1678,0.0784,0.0067,0.9146,0.0003
BJ_1_19,"(1, 19)",110,0.3998,0.1414,0.2645,0.1868,0.0056,0.0019
BJ_43_44,"(43, 44)",3957,0.023,0.0001,0.0594,0.2832,0.6279,0.0064
BJ_6_10,"(6, 10)",556,0.2856,0.0357,0.1524,0.5207,0.0019,0.0037
BJ_11_64,"(11, 64)",1065,0.1559,0.0001,0.1072,0.1356,0.5849,0.0137,0.0026
BJ_11_70,"(11, 70)",1071,0.1728,0.0009,0.1051,0.2546,0.444,0.0172,0.0054
BJ_8_29,"(8, 29)",757,0.2211,0.0024,0.0329,0.7436
BJ_43_50,"(43, 50)",3963,0.0546,0.0132,0.0765,0.8458,0.0099
BJ_44_59,"(44, 59)",4063,0.3014,0.0002,0.0861,0.3557,0.224,0.0255,0.0071
BJ_16_79,"(16, 79)",1535,0.0781,0.0003,0.0907,0.055,0.7707,0.0052
BJ_18_54,"(18, 54)",1692,0.2129,0.003,0.0276,0.7319,0.0009,0.0237
BJ_44_71,"(44, 71)",4075,0.1835,0.0005,0.0063,0.101,0.7087
BJ_16_51,"(16, 51)",1507,0.2033,0.0004,0.0034,0.7903,0.0026
BJ_20_2,"(20, 2)",1822,0.9483,0.0423,0.0094
BJ_1_25,"(1, 25)",116,0.1916,0.3513,0.4024,0.0307,0.012,0.012
BJ_11_58,"(11, 58)",1059,0.0613,0.0579,0.1212,0.7466,0.013
BJ_43_78,"(43, 78)",3991,0.3013,0.0019,0.0648,0.6025,0.0001,0.0122,0.0172
BJ_30_82,"(30, 82)",2812,0.4304,0.2228,0.1943,0.1493,0.0009,0.0022,0.0001
BJ_6_38,"(6, 38)",584,0.2181,0.0001,0.0139,0.3751,0.3865,0.0008,0.0055
BJ_8_15,"(8, 15)",743,0.5852,0.0167,0.1658,0.2323
BJ_43_1,"(43, 1)",3914,0.923,0.077
BJ_16_45,"(16, 45)",1501,0.372,0.0003,0.6277
BJ_33_8,"(33, 8)",3011,0.7851,0.0912,0.0148,0.1089
BJ_1_31,"(1, 31)",122,0.1263,0.0772,0.1835,0.6076,0.0054
BJ_18_68,"(18, 68)",1706,0.1426,0.0033,0.0189,0.8018,0.0016,0.0318
BJ_44_65,"(44, 65)",4069,0.6078,0.017,0.2719,0.1019,0.0014
BJ_20_78,"(20, 78)",1898,0.3189,0.0003,0.0643,0.1301,0.3995,0.0027,0.0842
BJ_27_71,"(27, 71)",2528,0.1907,0.007,0.2015,0.5862,0.0054,0.0092
BJ_33_10,"(33, 10)",3013,0.9693,0.0307
BJ_29_48,"(29, 48)",2687,0.4208,0.2241,0.0104,0.3226,0.0221
BJ_27_65,"(27, 65)",2522,0.2934,0.105,0.2044,0.3749,0.0135,0.0088
BJ_34_19,"(34, 19)",3113,0.5228,0.0113,0.0697,0.3842,0.0058,0.0062
BJ_20_44,"(20, 44)",1864,0.1372,0.8628
BJ_34_31,"(34, 31)",3125,0.2009,0.0185,0.0605,0.68,0.0401
BJ_33_38,"(33, 38)",3041,0.1556,0.0416,0.0075,0.7509,0.0009,0.0435
BJ_5_82,"(5, 82)",537,0.0706,0.0004,0.1679,0.2798,0.4805,0.0002,0.0006
BJ_29_60,"(29, 60)",2699,0.1271,0.1969,0.3474,0.23,0.0282,0.0704
BJ_29_74,"(29, 74)",2713,0.1909,0.106,0.4246,0.2703,0.0082
BJ_27_59,"(27, 59)",2516,0.3131,0.0259,0.182,0.4785,0.0005
BJ_19_6,"(19, 6)",1735,0.571,0.1012,0.0138,0.3134,0.0006
BJ_34_25,"(34, 25)",3119,0.2,0.0047,0.1781,0.6112,0.006
BJ_20_50,"(20, 50)",1870,0.1181,0.0003,0.8809,0.0002,0.0005
BJ_2_74,"(2, 74)",256,0.247,0.0428,0.2936,0.4109,0.0057
BJ_40_29,"(40, 29)",3669,0.4729,0.0022,0.0431,0.4817,0.0001
BJ_5_69,"(5, 69)",524,0.0752,0.0022,0.1999,0.3836,0.1349,0.2042
BJ_2_60,"(2, 60)",242,0.1283,0.0026,0.0431,0.826
BJ_15_14,"(15, 14)",1379,0.51,0.0439,0.1079,0.3341,0.0041
BJ_2_48,"(2, 48)",230,0.2141,0.0015,0.0474,0.2891,0.4444,0.0035
BJ_20_87,"(20, 87)",1907,0.3302,0.0039,0.4723,0.1849,0.0009,0.0077,0.0001
BJ_22_0,"(22, 0)",2002,0.9917,0.0083
BJ_40_15,"(40, 15)",3655,0.7792,0.0035,0.0726,0.1399,0.0048
BJ_12_35,"(12, 35)",1127,0.249,0.0551,0.1873,0.5069,0.0017
BJ_17_9,"(17, 9)",1556,0.144,0.0077,0.0083,0.8345,0.003,0.0025
BJ_5_41,"(5, 41)",496,0.0646,0.0004,0.0274,0.2879,0.6197
BJ_12_21,"(12, 21)",1113,0.2394,0.105,0.1624,0.3169,0.081,0.0676,0.0277
BJ_5_55,"(5, 55)",510,0.3585,0.6406,0.0009
BJ_41_3,"(41, 3)",3734,0.9298,0.0702
BJ_15_28,"(15, 28)",1393,0.1625,0.0002,0.0133,0.8196,0.0044
BJ_15_73,"(15, 73)",1438,0.1285,0.0001,0.0198,0.1543,0.6803,0.017
BJ_15_67,"(15, 67)",1432,0.0932,0.0137,0.0381,0.8397,0.0141,0.0012
BJ_2_13,"(2, 13)",195,0.3407,0.068,0.1454,0.4455,0.0004
BJ_33_88,"(33, 88)",3091,0.1465,0.1166,0.3563,0.1201,0.0837,0.1708,0.006
BJ_5_32,"(5, 32)",487,0.0804,0.0456,0.1444,0.7293,0.0003
BJ_12_46,"(12, 46)",1138,0.1322,0.0007,0.8671
BJ_40_66,"(40, 66)",3706,0.0005,0.0009,0.9324,0.0662
BJ_46_2,"(46, 2)",4188,0.9814,0.0186
BJ_34_81,"(34, 81)",3175,0.1571,0.0001,0.0067,0.2805,0.5552,0.0004
BJ_10_8,"(10, 8)",918,0.3655,0.0147,0.3148,0.3003,0.0047
BJ_25_1,"(25, 1)",2276,0.8474,0.0979,0.0033,0.0514
