TIF,POI_0,POI_1,POI_2,POI_3,POI_4,POI_5,POI_6,POI_7,POI_8,POI_9,POI_10,POI_11,POI_12,POI_13
1172,0.08027466551039499,0.0,0.08027466551039499,0.32109866204157994,0.0,0.0,0.0,0.08027466551039499,0.32109866204157994,0.0,0.0,0.0,0.24082399653118497,0.08027466551039499,15.0
4312,0.0803391495595512,0.0,0.42847546431760647,0.0401695747797756,0.0,0.0,0.013389858259925202,0.066949291299626,0.3213565982382048,0.10711886607940162,0.10711886607940162,0.401695747797756,0.6159334799565592,0.0401695747797756,166.0
4786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1276,0.0,0.02312592960466313,0.4856445216979257,0.11562964802331564,0.011562964802331564,0.02312592960466313,0.1271926128256472,0.13875557762797877,0.08094075361632094,0.0,0.04625185920932626,0.3353259792676153,0.7053408529422254,0.20813336644196817,199.0
2329,0.00817203894521969,0.0898924283974166,0.2615052462470301,0.3595697135896664,0.04903223367131814,0.09806446734263628,0.22064505152093164,0.02451611683565907,0.5965588430010373,0.11440854523307566,0.04903223367131814,0.15526873995917412,0.31870951886356796,0.13892466206873474,304.0
2834,0.0,0.06623685521947166,0.44559338965826395,0.2709689531705659,0.018064596878037728,0.018064596878037728,0.24688282399984895,0.07225838751215091,0.9514021022433202,0.02408612917071697,0.10838758126822637,0.24086129170716972,0.1384952427316226,0.0421507260487547,439.0
438,0.0,0.0,0.11592043891939045,0.13910452670326853,0.0,0.023184087783878093,0.11592043891939045,0.0,0.996915774706758,0.0,0.3013931411904152,0.06955226335163427,0.16228861448714663,0.0,83.0
2064,0.008041162545247863,0.04824697527148718,0.34576998944565807,0.4181404523528889,0.04020581272623931,0.24123487635743587,0.15278208835970938,0.09649395054297435,0.26535836399317947,0.08845278799772649,0.11257627563347007,0.26535836399317947,0.2814406890836752,0.12865860072396582,310.0
5120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15563025007672873,0.15563025007672873,0.15563025007672873,0.0,0.0,0.15563025007672873,0.15563025007672873,5.0
4979,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.0,9.0
1521,0.0,0.0,0.17474250108400471,0.0,0.0,0.0,0.0,0.0,0.17474250108400471,0.0,0.0,0.0,0.34948500216800943,0.0,4.0
186,0.0,0.014297521051218714,0.31454546312681164,0.2430578578707181,0.028595042102437428,0.0,0.07148760525609357,0.028595042102437428,0.35743802628046784,0.12867768946096841,0.3288429841780304,0.14297521051218715,0.4432231525877801,0.08578512630731228,153.0
