File,Coordinates,Area,Value_1_Ratio,Value_2_Ratio,Value_3_Ratio,Value_4_Ratio,Value_5_Ratio,Value_6_Ratio,Value_7_Ratio,Value_8_Ratio,Value_9_Ratio,Value_10_Ratio
SH_7_1,"(7, 1)",589,0.0399,0.0558,0.8784,0.0163,0.0056,0.004
SH_35_8,"(35, 8)",2948,0.3701,0.0292,0.0201,0.398,0.0044,0.1782
SH_25_47,"(25, 47)",2147,0.1214,0.0104,0.0168,0.6836,0.0285,0.1393
SH_45_1,"(45, 1)",3781,0.1541,0.332,0.4044,0.0975,0.0082,0.0018,0.002
SH_31_32,"(31, 32)",2636,0.3251,0.004,0.0037,0.6664,0.0002,0.0006
SH_56_81,"(56, 81)",4785,1.0
SH_36_13,"(36, 13)",3037,0.3248,0.1338,0.0521,0.4683,0.0193,0.0017
SH_22_66,"(22, 66)",1914,0.6544,0.0353,0.0617,0.2247,0.0024,0.0209,0.0006
SH_22_72,"(22, 72)",1920,0.2116,0.0568,0.1942,0.4973,0.0375,0.0026
SH_4_13,"(4, 13)",349,0.1337,0.0132,0.0329,0.7706,0.0079,0.0417
SH_53_72,"(53, 72)",4524,1.0
SH_15_27,"(15, 27)",1287,0.2988,0.2555,0.2843,0.0698,0.0366,0.055
SH_27_81,"(27, 81)",2349,0.0078,0.2567,0.2497,0.0071,0.0223,0.453,0.0034
SH_47_13,"(47, 13)",3961,0.1358,0.1411,0.2296,0.405,0.0637,0.0241,0.0007
SH_15_33,"(15, 33)",1293,0.2985,0.0006,0.0187,0.6631,0.0096,0.0095
SH_53_66,"(53, 66)",4518,0.2535,0.3838,0.1519,0.2098,0.001
SH_49_16,"(49, 16)",4132,0.1368,0.0187,0.0037,0.7817,0.0406,0.0185
SH_12_12,"(12, 12)",1020,0.0769,0.0751,0.7787,0.0193,0.0095,0.0405
SH_54_47,"(54, 47)",4583,1.0
SH_40_32,"(40, 32)",3392,0.1733,0.0143,0.0087,0.796,0.0063,0.0014
SH_40_26,"(40, 26)",3386,0.0915,0.0313,0.0849,0.6749,0.0205,0.0969
SH_54_53,"(54, 53)",4589,1.0
SH_1_7,"(1, 7)",91,0.0288,0.1355,0.6131,0.1067,0.1159
SH_1_37,"(1, 37)",121,0.2213,0.0069,0.0492,0.1631,0.0083,0.5512
SH_8_13,"(8, 13)",685,0.2367,0.0638,0.0558,0.546,0.0171,0.0806
SH_33_23,"(33, 23)",2795,0.4356,0.0172,0.1133,0.4259,0.0059,0.0021
SH_43_7,"(43, 7)",3619,0.0333,0.1845,0.5995,0.1706,0.0121
SH_27_56,"(27, 56)",2324,0.1938,0.0424,0.1679,0.5505,0.0269,0.0185
SH_61_17,"(61, 17)",5141,0.0823,0.0532,0.5299,0.174,0.0022,0.1584
SH_27_42,"(27, 42)",2310,0.1558,0.0006,0.0116,0.8273,0.0047
SH_33_37,"(33, 37)",2809,0.0951,0.0003,0.0077,0.8831,0.0138
SH_20_4,"(20, 4)",1684,0.3599,0.0001,0.0613,0.03,0.4552,0.0077,0.0857,0.0001
SH_1_23,"(1, 23)",107,0.1058,0.0136,0.5467,0.3306,0.0033
SH_34_16,"(34, 16)",2872,0.3741,0.1171,0.0971,0.3694,0.032,0.0103
SH_20_63,"(20, 63)",1743,0.2899,0.1815,0.1924,0.1637,0.0046,0.1672,0.0007
SH_29_47,"(29, 47)",2483,0.0434,0.0038,0.0026,0.7464,0.0129,0.1909
SH_6_16,"(6, 16)",520,0.225,0.0163,0.0206,0.6901,0.0049,0.0431
SH_29_53,"(29, 53)",2489,0.2812,0.0054,0.0054,0.7014,0.0066
SH_20_77,"(20, 77)",1757,0.1109,0.1316,0.0437,0.6688,0.0073,0.0377
SH_18_67,"(18, 67)",1579,0.2165,0.2243,0.181,0.3167,0.0043,0.0535,0.0037
SH_11_43,"(11, 43)",967,0.0584,0.001,0.036,0.8395,0.008,0.0571
SH_57_16,"(57, 16)",4804,0.0608,0.0356,0.3771,0.5229,0.0036
SH_19_0,"(19, 0)",1596,0.0993,0.0604,0.1222,0.5406,0.0214,0.1561
SH_43_63,"(43, 63)",3675,0.0101,0.0043,0.005,0.9382,0.0418,0.0006
SH_43_77,"(43, 77)",3689,0.0174,0.0225,0.0049,0.4495,0.0389,0.4668
SH_11_57,"(11, 57)",981,0.0251,0.0837,0.1996,0.3822,0.2903,0.0191
SH_18_73,"(18, 73)",1585,0.2738,0.1202,0.3546,0.245,0.0016,0.0047,0.0001
SH_50_23,"(50, 23)",4223,0.1801,0.185,0.1961,0.388,0.0082,0.0426
SH_16_76,"(16, 76)",1420,0.0933,0.1804,0.416,0.304,0.0054,0.0009
SH_44_56,"(44, 56)",3752,0.1215,0.0051,0.0056,0.8563,0.008,0.0035
SH_59_13,"(59, 13)",4969,0.1385,0.238,0.1318,0.2904,0.0346,0.1667
SH_44_42,"(44, 42)",3738,0.1862,0.0224,0.0388,0.7063,0.0409,0.0054
SH_39_81,"(39, 81)",3357,0.0001,0.002,0.9979
SH_16_62,"(16, 62)",1406,0.0487,0.1933,0.277,0.4246,0.0044,0.0518,0.0002
SH_50_37,"(50, 37)",4237,0.1549,0.0485,0.0389,0.6267,0.131
SH_37_47,"(37, 47)",3155,0.1772,0.0193,0.0077,0.7939,0.0005,0.0014
SH_23_32,"(23, 32)",1964,0.1688,0.0072,0.0054,0.8019,0.0113,0.0054
SH_41_5,"(41, 5)",3449,0.1669,0.0551,0.4734,0.3045,0.0001
SH_3_5,"(3, 5)",257,0.1077,0.0457,0.1473,0.672,0.0161,0.0112
SH_5_53,"(5, 53)",473,0.3057,0.1375,0.2555,0.2983,0.0028,0.0002
SH_11_80,"(11, 80)",1004,0.1248,0.1591,0.2018,0.4489,0.0305,0.0343,0.0006
SH_5_47,"(5, 47)",467,0.0294,0.2287,0.424,0.2668,0.0384,0.0127
SH_22_6,"(22, 6)",1854,0.0885,0.0977,0.0887,0.5337,0.0233,0.1681
SH_23_26,"(23, 26)",1958,0.2266,0.1899,0.1387,0.3028,0.0604,0.0816
SH_37_53,"(37, 53)",3161,0.1109,0.0028,0.8837,0.0026
SH_2_66,"(2, 66)",234,0.1116,0.2681,0.3812,0.2377,0.0014
SH_39_56,"(39, 56)",3332,0.3183,0.061,0.2645,0.3086,0.0454,0.0022
SH_30_72,"(30, 72)",2592,0.0637,0.2484,0.1088,0.5571,0.0161,0.0059
SH_62_52,"(62, 52)",5260,1.0
SH_62_46,"(62, 46)",5254,1.0
SH_24_13,"(24, 13)",2029,0.2083,0.1226,0.3094,0.3174,0.019,0.0233
SH_30_66,"(30, 66)",2586,0.1135,0.0404,0.0346,0.7763,0.0351,0.0001
SH_39_42,"(39, 42)",3318,0.0871,0.0021,0.0066,0.8964,0.0078
SH_2_72,"(2, 72)",240,0.0384,0.3479,0.4484,0.0813,0.0083,0.0753,0.0004
SH_44_81,"(44, 81)",3777,0.1764,0.2015,0.361,0.1975,0.0225,0.0341,0.007
SH_30_67,"(30, 67)",2587,0.179,0.0884,0.0145,0.5975,0.0858,0.0348
SH_62_47,"(62, 47)",5255,1.0
SH_24_12,"(24, 12)",2028,0.1265,0.1985,0.3182,0.3435,0.0079,0.0054
SH_44_80,"(44, 80)",3776,0.1335,0.1442,0.3662,0.3388,0.017,0.0003
SH_2_73,"(2, 73)",241,0.0745,0.1864,0.4263,0.2505,0.0073,0.055
SH_39_43,"(39, 43)",3319,0.1087,0.0005,0.008,0.866,0.0035,0.0133
SH_39_57,"(39, 57)",3333,0.1904,0.0293,0.0597,0.5551,0.1652,0.0002,0.0001
SH_2_67,"(2, 67)",235,0.1794,0.2795,0.3432,0.1851,0.0032,0.0087,0.0009
SH_62_53,"(62, 53)",5261,1.0
SH_30_73,"(30, 73)",2593,0.0665,0.0821,0.2075,0.6314,0.0033,0.0092
SH_22_7,"(22, 7)",1855,0.0499,0.0298,0.166,0.7198,0.0332,0.0013
SH_5_46,"(5, 46)",466,0.0472,0.0602,0.5076,0.0286,0.0278,0.3286
SH_37_52,"(37, 52)",3160,0.1077,0.0028,0.0134,0.8697,0.0051,0.0013
SH_23_27,"(23, 27)",1959,0.2096,0.1833,0.1448,0.2732,0.0759,0.1132
SH_41_4,"(41, 4)",3448,0.116,0.0493,0.7248,0.0974,0.0119,0.0006
SH_23_33,"(23, 33)",1965,0.1572,0.0259,0.0078,0.7753,0.0146,0.0192
SH_37_46,"(37, 46)",3154,0.0767,0.0001,0.9183,0.0038,0.0011
SH_11_81,"(11, 81)",1005,0.0453,0.1671,0.37,0.3744,0.0346,0.0086
SH_5_52,"(5, 52)",472,0.2407,0.0677,0.2925,0.3875,0.0063,0.0053
SH_3_4,"(3, 4)",256,0.1555,0.0816,0.0891,0.6566,0.0096,0.0076
SH_59_12,"(59, 12)",4968,0.0836,0.0637,0.4101,0.2848,0.0109,0.1469
SH_16_63,"(16, 63)",1407,0.2,0.1103,0.4263,0.248,0.0154
SH_39_80,"(39, 80)",3356,1.0
SH_50_36,"(50, 36)",4236,0.1105,0.0115,0.0277,0.8428,0.0075
SH_44_43,"(44, 43)",3739,0.1713,0.0024,0.0242,0.7783,0.0238
SH_44_57,"(44, 57)",3753,0.1143,0.0059,0.0042,0.8589,0.005,0.0117
SH_50_22,"(50, 22)",4222,0.1956,0.1254,0.1409,0.4753,0.0123,0.0505
SH_16_77,"(16, 77)",1421,0.1077,0.0787,0.3274,0.416,0.0065,0.0637
SH_11_56,"(11, 56)",980,0.1271,0.1651,0.4247,0.2769,0.0042,0.0019,0.0001
SH_43_76,"(43, 76)",3688,0.0001,0.0048,0.0048,0.0089,0.0043,0.9771
SH_18_72,"(18, 72)",1584,0.1744,0.0721,0.4599,0.268,0.0021,0.0235
SH_18_66,"(18, 66)",1578,0.1268,0.4447,0.1657,0.207,0.0064,0.0469,0.0025
SH_43_62,"(43, 62)",3674,0.0243,0.039,0.0481,0.7228,0.1658
SH_19_1,"(19, 1)",1597,0.1107,0.0535,0.0642,0.6261,0.0178,0.1277
SH_11_42,"(11, 42)",966,0.0385,0.0092,0.0452,0.8848,0.0223
SH_57_17,"(57, 17)",4805,0.1234,0.0203,0.1629,0.6905,0.0029
SH_29_52,"(29, 52)",2488,0.3757,0.0187,0.0095,0.5726,0.0235
SH_6_17,"(6, 17)",521,0.1699,0.0064,0.009,0.8117,0.003
