TIF,POI_0,POI_1,POI_2,POI_3,POI_4,POI_5,POI_6,POI_7,POI_8,POI_9,POI_10,POI_11,POI_12,POI_13
947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1857,0.04855322510709374,0.0,0.0,0.04855322510709374,0.04855322510709374,0.19421290042837497,0.0,0.0,0.5826387012851248,0.0,0.0,0.1456596753212812,0.09710645021418748,0.3398725757496562,31.0
8289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3159,0.0,0.0072040348956358595,0.26654929113852677,0.06483631406072274,0.0,0.014408069791271719,0.15848876770398893,0.057632279165086876,0.8212599781024879,0.05042824426945102,0.06483631406072274,0.47546630311196675,0.48987437290323843,0.07924438385199446,354.0
7443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
406,0.208278537031645,0.0,0.1041392685158225,0.0,0.1041392685158225,0.208278537031645,0.0,0.0,0.0,0.31241780554746745,0.0,0.1041392685158225,0.0,0.0,10.0
1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1514,0.47712125471966244,0.0,0.35784094103974684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11928031367991561,0.0,0.0,0.0,8.0
4552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1370,0.00733629932137423,0.05135409524961961,0.4328416599610796,0.15993132520595824,0.06455943402809323,0.04548505579252023,0.09977367077068953,0.13205338778473616,0.133520647649011,0.07042847348519261,0.0733629932137423,0.7585733498300954,1.1870132301983505,0.14379146669893492,2290.0
13814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2327,0.013587999067777289,0.013587999067777289,0.3396999766944322,0.32611197762665495,0.013587999067777289,0.027175998135554578,0.13587999067777287,0.06793999533888644,0.6658119543210871,0.054351996271109156,0.06793999533888644,0.08152799440666374,0.25817198228776844,0.14946798974555017,163.0
6050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
334,0.14913616938342728,0.0,0.19884822584456968,0.2485602823057121,0.04971205646114242,0.09942411292228484,0.2485602823057121,0.04971205646114242,0.14913616938342728,0.04971205646114242,0.0,0.09942411292228484,0.04971205646114242,0.09942411292228484,30.0
945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3915,0.014544612094090421,0.04363383628227127,0.30543685397589887,0.07272306047045211,0.014544612094090421,0.014544612094090421,0.06545075442340689,0.05090614232931648,0.8144982772690637,0.007272306047045211,0.138173814893859,0.26180301769362757,0.6835967684222498,0.058178448376361686,350.0
12186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3662,0.03307586532126187,0.02205057688084125,0.26460692257009494,0.2315310572488331,0.02205057688084125,0.05512644220210312,0.11025288440420623,0.0441011537616825,0.12127817284462686,0.05512644220210312,0.0441011537616825,0.617416152663555,0.5071632682593488,0.19845519192757125,211.0
2645,0.018707689674311218,0.018707689674311218,0.2930871382308757,0.11848203460397103,0.0,0.006235896558103739,0.16836920706880096,0.006235896558103739,1.1286972770167767,0.024943586232414956,0.13718972427828224,0.261907655440357,0.36791789692812055,0.07483075869724487,421.0
3692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3291,0.0036256858530389056,0.010877057559116717,0.38794838627516287,0.08701646047293374,0.018128429265194528,0.014502743412155622,0.10877057559116718,0.11239626144420607,0.48946759016025226,0.05075960194254468,0.19941272191713982,0.5656069930740693,0.765019714991209,0.09064214632597264,801.0
10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2366,0.0,0.01724264322871693,0.3276102213456217,0.12069850260101851,0.0,0.03448528645743386,0.13794114582973543,0.10345585937230158,0.05172792968615079,0.0,0.08621321614358465,0.3448528645743386,0.5345219400902248,0.3276102213456217,121.0
4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2050,0.0,0.0,0.0,0.08816369505217216,0.0,0.0,0.1763273901043443,0.0,0.0,0.528982170313033,0.0,0.3526547802086886,0.0,0.0,13.0
6830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2033,0.014844639279097096,0.0,0.19298031062826224,0.059378557116388384,0.029689278558194192,0.0,0.029689278558194192,0.059378557116388384,0.9797461924204083,0.029689278558194192,0.029689278558194192,0.40080526053562154,0.3414267034192332,0.0,146.0
15586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2106,0.0,0.0,0.302321902029206,0.04169957269368359,0.020849786346841793,0.010424893173420897,0.08339914538736717,0.08339914538736717,0.43784551328367766,0.05212446586710448,0.020849786346841793,0.41699572693683584,0.7818669880065673,0.10424893173420896,226.0
10629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,1.0
2124,0.020534174254576633,0.010267087127288316,0.2566771781822079,0.20534174254576634,0.010267087127288316,0.03593480494550911,0.09753732770923901,0.061602522763729906,0.2669442653094962,0.005133543563644158,0.29774552669136123,0.2156088296730547,1.1447802146926473,0.09753732770923901,531.0
13820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3554,0.0,0.007007284328557621,0.34335693209932344,0.0981019805998067,0.007007284328557621,0.007007284328557621,0.14715297089971005,0.0,0.924961531369606,0.028029137314230484,0.1962039611996134,0.05605827462846097,0.7007284328557621,0.04905099029990335,366.0
9363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
432,0.1989549080308603,0.0,0.36475066472324386,0.09947745401543015,0.03315915133847672,0.09947745401543015,0.13263660535390687,0.06631830267695343,0.26527321070781373,0.06631830267695343,0.03315915133847672,0.09947745401543015,0.1989549080308603,0.06631830267695343,52.0
329,0.06890781877551046,0.02296927292517015,0.20672345632653136,0.6890781877551047,0.02296927292517015,0.02296927292517015,0.1837541834013612,0.0,0.459385458503403,0.02296927292517015,0.11484636462585075,0.02296927292517015,0.02296927292517015,0.06890781877551046,84.0
13350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3863,0.018461423627659294,0.018461423627659294,0.018461423627659294,0.18461423627659293,0.0,0.0,0.07384569451063717,0.0,1.070762570404239,0.0,0.14769138902127435,0.16615281264893364,0.31384420167020793,0.03692284725531859,111.0
14514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4013733275519749,0.0,0.0,0.20068666377598746,0.0,0.0,3.0
5216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3040,0.0,0.0,0.15836578442906346,0.039591446107265865,0.039591446107265865,0.0,0.039591446107265865,0.0,1.0293775987889127,0.0,0.039591446107265865,0.039591446107265865,0.15836578442906346,0.07918289221453173,41.0
16718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2827,0.047453560621183985,0.0,0.09490712124236797,0.0,0.0,0.047453560621183985,0.23726780310591994,0.0,0.9016176518024958,0.0,0.0,0.0,0.09490712124236797,0.09490712124236797,32.0
13971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2338,0.020849786346841793,0.0,0.21892275664183883,0.06254935904052537,0.010424893173420897,0.010424893173420897,0.10424893173420896,0.03127467952026269,0.8444163470470926,0.020849786346841793,0.020849786346841793,0.4274206201102568,0.5733691245381493,0.010424893173420897,226.0
4833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
