TIF,POI_0,POI_1,POI_2,POI_3,POI_4,POI_5,POI_6,POI_7,POI_8,POI_9,POI_10,POI_11,POI_12,POI_13
4736,0.4086015734234531,0.1845297428363982,0.5865409683014086,0.09885521937664189,0.5601795764676374,0.052722783667542336,0.006590347958442792,0.006590347958442792,0.28997531017148287,0.15816835100262702,0.07249382754287072,0.04613243570909955,0.052722783667542336,0.07249382754287072,394.0
7779,0.0,0.06847526292968321,0.06847526292968321,0.06847526292968321,0.27390105171873286,0.0,0.0,0.27390105171873286,0.27390105171873286,0.06847526292968321,0.13695052585936643,0.0,0.06847526292968321,0.0,19.0
6542,0.04640845203158349,0.23204226015791746,0.04640845203158349,0.09281690406316698,0.23204226015791746,0.0,0.0,0.8353521365685027,0.04640845203158349,0.0,0.0,0.0,0.0,0.0,33.0
4612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7470,0.0,0.0,0.20068666377598746,0.0,0.4013733275519749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3123,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4096,0.5998461010457097,0.11348439749513427,0.5755280158681809,0.07295425553258632,0.4215134764104987,0.03242411357003836,0.0,0.00810602839250959,0.2512868801677973,0.13780248267266304,0.03242411357003836,0.07295425553258632,0.12159042588764386,0.04863617035505754,307.0
6444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4375,0.2790319269260482,0.26159243149317024,0.2790319269260482,0.026159243149317023,0.6801403218822425,0.008719747716439007,0.026159243149317023,0.0,0.18311470204521912,0.5493441061356574,0.008719747716439007,0.04359873858219504,0.03487899086575603,0.06975798173151206,281.0
7073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5796,0.0,0.0,0.0,0.0,0.34948500216800943,0.0,0.0,0.0,0.34948500216800943,0.0,0.0,0.0,0.0,0.0,4.0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6944,0.24576498544321038,0.23552477771640995,0.3276866472576138,0.030720623180401297,0.757775371783232,0.05120103863400216,0.030720623180401297,0.0,0.26624540089681126,0.15360311590200648,0.010240207726800432,0.04096083090720173,0.07168145408760303,0.14336290817520606,231.0
1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6191,0.4409645937596373,0.2322637936596563,0.40057089051447975,0.3029527743386821,0.4476968776338303,0.03029527743386821,0.10771654198708698,0.006732283874192936,0.4375984518225408,0.003366141937096468,0.08078740649031523,0.11444882586127991,0.158208671043534,0.17840552266611281,874.0
3689,0.6857970440430678,0.20236634086516758,0.3597623837602979,0.1236683194176024,0.2698217878202234,0.02248514898501862,0.0,0.01124257449250931,0.2360940643426955,0.2473366388352048,0.05621287246254655,0.01124257449250931,0.02248514898501862,0.06745544695505586,206.0
6960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4024,0.1643138452644064,0.12323538394830481,0.24647076789660963,0.0,0.6983338423737273,0.0,0.0,0.0,0.12323538394830481,0.1643138452644064,0.0,0.0,0.0,0.0821569226322032,39.0
3683,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5774,0.07690305758614212,0.4614183455168527,0.07690305758614212,0.07690305758614212,0.30761223034456847,0.07690305758614212,0.0,0.0,0.07690305758614212,0.0,0.0,0.0,0.0,0.07690305758614212,16.0
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7794,0.19766183085623015,0.14609787498069185,0.6531434410901518,0.07734593381330745,0.7047073969656902,0.02578197793776915,0.04296996322961526,0.017187985291846102,0.24922578673176846,0.17187985291846103,0.008593992645923051,0.02578197793776915,0.04296996322961526,0.09453391910515356,286.0
1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7510,0.3359158034846527,0.11197193449488424,0.27992983623721057,0.11197193449488424,0.4198947543558159,0.08397895087116318,0.02799298362372106,0.13996491811860529,0.1959508853660474,0.0,0.02799298362372106,0.0,0.0,0.08397895087116318,65.0
3741,0.0,0.0,0.0,0.15563025007672873,0.6225210003069149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
7961,0.0,0.17474250108400471,0.17474250108400471,0.0,0.0,0.0,0.0,0.17474250108400471,0.0,0.0,0.0,0.0,0.0,0.17474250108400471,4.0
7537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6716,0.0,0.0,0.35784094103974684,0.0,0.35784094103974684,0.0,0.0,0.0,0.23856062735983122,0.0,0.0,0.0,0.0,0.0,8.0
4853,0.17075852608881176,0.06567635618800452,0.2889759672272199,0.026270542475201806,1.1953096826216822,0.0,0.0,0.0,0.27584069598961897,0.10508216990080722,0.013135271237600903,0.013135271237600903,0.013135271237600903,0.06567635618800452,170.0
