File,Coordinates,Area,Value_1_Ratio,Value_2_Ratio,Value_3_Ratio,Value_4_Ratio,Value_5_Ratio,Value_6_Ratio,Value_7_Ratio,Value_8_Ratio,Value_9_Ratio,Value_10_Ratio
GZ_22_66,"(22, 66)",1606,0.0027,0.0204,0.0042,0.0033,0.9693,0.0001
GZ_64_33,"(64, 33)",4513,0.0833,0.0062,0.0061,0.8452,0.0592
GZ_103_24,"(103, 24)",7234,0.3264,0.0265,0.0618,0.5754,0.0095,0.0004
GZ_70_46,"(70, 46)",4946,0.3023,0.0126,0.0257,0.5117,0.0505,0.0972
GZ_36_13,"(36, 13)",2533,0.3634,0.0283,0.0206,0.4404,0.0439,0.1034
GZ_117_51,"(117, 51)",8241,0.8422,0.0148,0.0448,0.064,0.0342
GZ_110_58,"(110, 58)",7758,0.5909,0.054,0.2574,0.0882,0.0095
GZ_79_62,"(79, 62)",5592,0.31,0.0001,0.0794,0.1391,0.2657,0.0229,0.1828
GZ_104_39,"(104, 39)",7319,0.9472,0.0057,0.002,0.0209,0.0242
GZ_119_68,"(119, 68)",8398,0.942,0.058
GZ_70_52,"(70, 52)",4952,1.0
GZ_117_45,"(117, 45)",8235,0.3135,0.146,0.0532,0.1156,0.3717
GZ_58_4,"(58, 4)",4064,0.0335,0.0127,0.0141,0.8792,0.0563,0.0042
GZ_64_27,"(64, 27)",4507,0.3712,0.004,0.0162,0.5057,0.0295,0.0734
GZ_103_30,"(103, 30)",7240,0.2761,0.0099,0.001,0.6936,0.0194
GZ_119_40,"(119, 40)",8370,0.3855,0.0412,0.2094,0.3172,0.0406,0.0061
GZ_103_18,"(103, 18)",7228,0.097,0.0061,0.0423,0.826,0.0277,0.0009
GZ_118_0,"(118, 0)",8260,0.9282,0.0133,0.007,0.0328,0.0179,0.0008
GZ_25_53,"(25, 53)",1803,0.1675,0.1635,0.2106,0.0446,0.043,0.3708
GZ_104_11,"(104, 11)",7291,0.2292,0.1,0.3598,0.1791,0.0892,0.0398,0.0029
GZ_31_26,"(31, 26)",2196,0.0254,0.1369,0.1113,0.0355,0.1663,0.5246
GZ_110_64,"(110, 64)",7764,0.8658,0.0168,0.05,0.0484,0.019
GZ_77_67,"(77, 67)",5457,0.1169,0.0847,0.0877,0.4537,0.0413,0.2157
GZ_31_32,"(31, 32)",2202,0.0131,0.2524,0.0551,0.2672,0.1319,0.2803
GZ_25_47,"(25, 47)",1797,0.3247,0.1356,0.1624,0.0926,0.0422,0.2413,0.0012
GZ_63_12,"(63, 12)",4422,0.0594,0.0014,0.0065,0.9242,0.0024,0.0061
GZ_38_16,"(38, 16)",2676,0.0461,0.011,0.0139,0.854,0.0725,0.0025
GZ_119_54,"(119, 54)",8384,0.8822,0.0223,0.0209,0.0746
GZ_19_33,"(19, 33)",1363,0.2613,0.0004,0.0818,0.1723,0.4082,0.0609,0.015,0.0001
GZ_63_2,"(63, 2)",4412,0.1703,0.0792,0.1161,0.3346,0.1281,0.1717
GZ_88_58,"(88, 58)",6218,0.3847,0.0101,0.0099,0.5914,0.0039
GZ_3_32,"(3, 32)",242,0.9736,0.0264
GZ_42_37,"(42, 37)",2977,0.0706,0.1142,0.174,0.0118,0.0694,0.5543,0.0057
GZ_56_42,"(56, 42)",3962,0.1856,0.0893,0.2437,0.2758,0.0151,0.1905
GZ_10_17,"(10, 17)",717,0.1027,0.1128,0.3523,0.1357,0.0583,0.2382
GZ_26_2,"(26, 2)",1822,0.2546,0.1066,0.2777,0.1787,0.0638,0.1186
GZ_56_56,"(56, 56)",3976,0.0001,0.0703,0.0104,0.9192
GZ_35_8,"(35, 8)",2458,0.1201,0.0276,0.0574,0.585,0.0344,0.1755
GZ_3_26,"(3, 26)",236,0.8078,0.0006,0.0017,0.1856,0.0043
GZ_42_23,"(42, 23)",2963,0.2191,0.0159,0.0132,0.7373,0.0106,0.0039
GZ_81_68,"(81, 68)",5738,0.2451,0.0495,0.0673,0.4651,0.0824,0.0906
GZ_86_61,"(86, 61)",6081,0.042,0.0008,0.0012,0.9337,0.0178,0.0045
GZ_70_8,"(70, 8)",4908,0.296,0.0147,0.0313,0.6479,0.0085,0.0016
GZ_45_1,"(45, 1)",3151,0.0471,0.0486,0.1462,0.6981,0.0208,0.0392
GZ_19_27,"(19, 27)",1357,0.1362,0.1912,0.1933,0.3497,0.0583,0.0713
GZ_92_14,"(92, 14)",6454,0.1602,0.0042,0.0151,0.7745,0.0173,0.0287
GZ_86_49,"(86, 49)",6069,0.3457,0.013,0.0176,0.5211,0.1026
GZ_88_64,"(88, 64)",6224,0.1424,0.0574,0.0369,0.5758,0.1872,0.0003
GZ_17_22,"(17, 22)",1212,0.1061,0.1249,0.253,0.1472,0.0376,0.3304,0.0008
GZ_95_35,"(95, 35)",6685,0.4705,0.0028,0.0002,0.5165,0.004,0.006
GZ_58_53,"(58, 53)",4113,0.0295,0.0931,0.2132,0.2098,0.069,0.3854
GZ_105_5,"(105, 5)",7355,0.1788,0.0877,0.3588,0.2745,0.0485,0.0517
GZ_81_40,"(81, 40)",5710,0.1724,0.0181,0.0373,0.1417,0.0312,0.5993
GZ_81_54,"(81, 54)",5724,0.4658,0.0242,0.0885,0.3707,0.0224,0.0284
GZ_95_21,"(95, 21)",6671,0.487,0.001,0.0072,0.3949,0.0218,0.0881
GZ_58_47,"(58, 47)",4107,0.0837,0.1903,0.3955,0.1454,0.1115,0.0734,0.0002
GZ_51_63,"(51, 63)",3633,0.236,0.0842,0.0933,0.4126,0.0398,0.1341
